"Geography","Race","Year","Variables","Estimate","Margin of Error (90%)"
"United States","Total","2019","Total","44077990","135910"
"United States","Total","2019","Less than 10.0 percent","1799283","24902"
"United States","Total","2019","10.0 to 14.9 percent","3864110","33171"
"United States","Total","2019","15.0 to 19.9 percent","5374492","49024"
"United States","Total","2019","20.0 to 24.9 percent","5348428","44680"
"United States","Total","2019","25.0 to 29.9 percent","4780865","40293"
"United States","Total","2019","30.0 to 34.9 percent","3728405","33960"
"United States","Total","2019","35.0 to 39.9 percent","2743080","29733"
"United States","Total","2019","40.0 to 49.9 percent","3677079","35777"
"United States","Total","2019","50.0 percent or more","9732975","59826"
"United States","Total","2019","Not computed","3029273","31214"